State,Current_Unemployment_Rate,Code
Nebraska,1.7,NE
Utah,1.9,UT
Oklahoma,2.3,OK
Idaho,2.4,ID
Montana,2.5,MT
Vermont,2.5,VT
Georgia,2.6,GA
New Hampshire,2.6,NH
South Dakota,2.6,SD
Indiana,2.7,IN
Wisconsin,2.8,WI
Alabama,3.1,AL
Arkansas,3.1,AR
Minnesota,3.1,MN
North Dakota,3.1,ND
Virginia,3.2,VA
Kansas,3.3,KS
Missouri,3.3,MO
Wyoming,3.3,WY
Iowa,3.5,IA
South Carolina,3.5,SC
North Carolina,3.7,NC
West Virginia,3.7,WV
Tennessee,3.8,TN
Kentucky,3.9,KY
Massachusetts,3.9,MA
Arizona,4.1,AZ
Oregon,4.1,OR
Florida,4.4,FL
Mississippi,4.5,MS
Ohio,4.5,OH
Washington,4.5,WA
Maine,4.7,ME
Colorado,4.8,CO
Louisiana,4.8,LA
Rhode Island,4.8,RI
Delaware,5.0,DE
Maryland,5.0,MD
Texas,5.0,TX
Illinois,5.3,IL
Pennsylvania,5.4,PA
Michigan,5.6,MI
Alaska,5.7,AK
Hawaii,5.7,HI
Connecticut,5.8,CT
District of Columbia,5.8,DC
New Mexico,5.8,NM
New York,6.2,NY
New Jersey,6.3,NJ
Nevada,6.4,NV
California,6.5,CA
